question,category
Will two school age children become the nation’s foremost political thinkers in 2024 for their critique of rationalussy?,Politics & Governance
Will Nasa mine an asteroid before 2030,Science & Tech
Will Liechtenstein require solar panels on every roof after January referendum?,Politics & Governance
"Will the word ""Rizz"" be added to the OED online dictionary in 2024",Arts & Recreation
"Will fewer than 950,000 boys play 11-man tackle football in high school during the 2028 season?",Sports
"Will the word ""copium"" be added to the Merriam-Webster online dictionary in 2024",Arts & Recreation
($50M Subsidy) Will Montreal beat Ottawa on January 2? (WOMENS ICE HOCKEY),Sports
Will someone fly a banner with the word “Rationalussy” over the San Francisco Bay in 2024?,Arts & Recreation
"Will the word ""stablecoin"" be added to the Merriam-Webster online dictionary in 2024",Economics & Business
Will Nic Carter successfully complete a muscle up in 2024.,Sports
Will any head of state/government publicly mention the Effective Altruism movement in 2024?,Politics & Governance
"Will the word ""nothingburger"" be added to the Merriam-Webster online dictionary in 2024",Arts & Recreation
Will Manifold visually distinguish markets where the creator has/has not traded (in 2024),Economics & Business
Will more than 1.5mm Gazans still be displaced at the end of June 2024?,Politics & Governance
Will Danish people support crown prince Frederik after taking the throne in 2 weeks?,Politics & Governance
Will Aella (publicly) talk to Jreg again in 2024?,Arts & Recreation
"Will someone drunkely misresolve their own market, which had at least 100 participants, from now until 12 noon Jan 1?",Economics & Business
Will Abrams tanks be deployed in combat in Ukraine by the end of March 2024?,Security & Defenses
Will Pope Francis abdicate before 2025?,Politics & Governance
Will any molecule be shown to extend longevity in the ITP program in 2024?,Healthcare & Biology
Will Jimmy Apples 🍎/acc be doxx'd by EOY 2025?,Security & Defenses
New film in the Terminator film franchise officially announced by end of October 2024?,Arts & Recreation
Will MBS become King of Saudi Arabia by the end of 2024?,Politics & Governance
Will the Effective Altruism movement suffer a scandal more damaging than the FTX crash by the end of 2024?,Economics & Business
"By the end of 2024, will I think that X is an ""everything app""?",Economics & Business
Will >=1 nobel laureate be cryopreserved by 2030?,Science & Tech
Will AJ Kourabi win an emergent ventures (EV) grant by EOY 2026?,Economics & Business
Will the Social Democrats receive more votes than the Independence Party in the next Icelandic parliamentary election?,Politics & Governance
($250M Subsidy) Will the Vegas Golden Knights beat Seattle Kraken on January 1? (Prediction Market),Sports
Will any of my domains have downtime due to HTTPS certificates in 2024?,Science & Tech
"Will 2024 officially (in Denver) be one of the 20 warmest years in Denver ever? [use DIA data, not Stapleton]",Science & Tech
Will the television show based on the board game Risk ever actually come out? (Before 2030),Arts & Recreation
Will January 2024 in Boston be one of the 15 warmest Januaries ever?,Science & Tech
Will Jeff Bezos sell/close the Washington Post by 2030?,Economics & Business
"In the 2024 US presidential election, will there be at least one faithless elector?",Politics & Governance
Will I be explaining to people that there are AI algorithms on the way that don't just mimic humans by end of 2024?,Science & Tech
Will someone convince me of ANYTHING that contradicts my (essentially mainstream) knowledge of COVID before 2026?,Healthcare & Biology
Will anyone post an interesting math/algorithms problem in the comments of this that I'll spend 8h+ on?,Science & Tech
Will Jose Luis Ricon try semaglutide/tirzepatide in 2024?,Healthcare & Biology
Will this market have an odd number of traders by the end of 2024?,Economics & Business
Will I get into MIT regular decision?,Education & Research
Will my abdominal wall remain intact for the rest of my life?,Healthcare & Biology
Will Guillaume Verdon/BasedBeffJezos win a Darwin award by EOY 2040?,Arts & Recreation
Will Jose Luis Ricon win a Darwin Award by EOY 2040?,Arts & Recreation
"Will 2024 be a boring and uneventful year from markets to politics, domestic and international?",Economics & Business
"By the end of 2024, will I stop accidentally liking markets and/or comments while using Manifold on mobile?",Science & Tech
Will any of my security keys be lost or break in 2024?,Security & Defenses
Will Sam Altman win a Darwin Award by EOY 2040?,Arts & Recreation
Will @Rai leave the Google Search chatbot market unresolved for more than a year?,Science & Tech
Will I still be waking up in the middle of the night by the end of 2024?,Healthcare & Biology
Will the winter of 2024 produce more rain in California than 2023?,Science & Tech
Will I have more than 10K traders in my markets by the end of 2024?,Economics & Business
Will this market get over 200 traders by the end of 2024?,Economics & Business
Will I solve the alignment problem in 2024?,Science & Tech
Will @Mira find a prompt enabling GPT-4 to solve easy Sudoku challenges?,Science & Tech
"Will I finish ""Shared mutable state in Rust"" in 2024?",Science & Tech
Will the New York Times win its lawsuit against openAI (just the first court case),Economics & Business
Will Global Co2 be higher on Jan 1 than Dec 31?,Science & Tech
Will My Chemical Romance release a new album in 2024?,Arts & Recreation
Will @AlexShadley and I go to the gym a combined 400 times in 2024?,Arts & Recreation
Will bets be fast-expiring limit orders under-the-hood by 2024-03-01?,Economics & Business
Will ETH/USD be more volatile over 2024 than over 2023?,Economics & Business
Will Lukashenko still be the President of Belarus by the end of 2026?,Politics & Governance
Will @Mira get a vaccine in 2024?,Healthcare & Biology
Will a slightly-premature New Year's Resolution need to be overturned?,Arts & Recreation
"Will I be employed on Mar. 1, 2024?",Economics & Business
Will the described dynamic mostly stop happening on Manifold by the end of 2024?,Economics & Business
Will Joseph Anderson release his Witcher 3 review by the end of 2024?,Arts & Recreation
Will Donald Trump outlive Joe Biden?,Politics & Governance
Will I reach a chess.com rating of 2600 before 2026?,Arts & Recreation
"Will Lorxus's paper be published before 2025 or Lorxus leaves [Fox City], USA?",Education & Research
Will the US increase copyright or patent terms by EOY 2030?,Politics & Governance
Will @Mira have a positive balance in 2024?,Economics & Business
Will Lime (Scooters and e-bike rental) report a second profitable year in 2024?,Economics & Business
Will Ohio override the veto on HB68? (ban on gender-affirming care for minors and restrictions on transgender athletes),Politics & Governance
Will Bob Newhart survive 2024?,Arts & Recreation
Will an open-source fully functional Auto-GPT like LLM exist by the end of 2025?,Science & Tech
Will the Pope survive 2024?,Politics & Governance
"Will Helsinki, Finland average temperature for March 2024 be higher than average (1991-2020)?",Science & Tech
"If I get the Novavax COVID-19 booster vaccine, will I think the side effects were milder than previous COVID vaccines?",Healthcare & Biology
Will the Supreme Court make any decision on the Trump Colorado ballot before March 2024?,Politics & Governance
Will Mira train any AI image models in 2024?,Science & Tech
"Will Helsinki, Finland average temperature for April 2024 be higher than average (1991-2020)?",Science & Tech
Will @IsaacKing be demoted from moderator again before June 2024?,Politics & Governance
Will I come across a movie on *well-known* fanfic story for Harry Potter in 2024? (M500 subsidy),Arts & Recreation
Will I be a loan shark for New Year's?,Economics & Business
Will Apple increase the storage limit of the free iCloud tier in 2024?,Science & Tech
🏈 2023 NCAAF: Will #1 Michigan beat #2 Washington in the CFP National Championship game?,Sports
Will both Jim / John Harbaugh’s teams win the NCAAF national championship and NFL Super Bowl this season?,Sports
Will the USA get involved in a world war during 2024?,Politics & Governance
Will Hollow Knight: Silksong get a 90 or above on OpenCritic? (a website which is like metacritic),Arts & Recreation
Is Zach Snyder the best at making mediocre movies?,Arts & Recreation
Will Paradox Interactive publish a fantasy grand strategy game before 2030?,Arts & Recreation
Will methoxetamine (MXE) be widely available again on darknets (or any site) by EOY 2025?,Security & Defenses
"Will Alex Jones mention the ""Deep State"" more than 3 times if he debates Destiny on J6?",Politics & Governance
"Will Alex Jones mention ""George Soros"" more than 1 times if he debates Destiny on J6?",Politics & Governance
Will Paradox Interactive publish a Cold War grand strategy game before the end of 2027?,Arts & Recreation
Will Taiwan/ROC lose a 'diplomatic ally' in 2024?,Politics & Governance
Will a cloud service used by the Dutch government be hacked in 2024?,Security & Defenses
Will any major smartphone manufacturer launch a phone with native LLM functionality in 2024?,Science & Tech
Will MetaZoo pay their Dark Tower Sept 2023 players by Sept 1st of 2024?,Economics & Business
Will MetaZoo still be operating EOY 2024?,Economics & Business
Will I successfully learn how to create a Manifold bot and get it working by June 2024?,Science & Tech
Will there be a cyberbreach of a Dutch government organization in 2024?,Security & Defenses
Will there be a significant surprise in 2024 that will shape the year?,Politics & Governance
Will Taiwan and Czechia announce a deal for Taiwan to purchase weapons from Czechia in 2024?,Politics & Governance
Will a nuclear warhead be detonated in 2024?,Security & Defenses
Will OpenAI be the target and victim of a major cyber attack in 2024?,Security & Defenses
(NFL Week 17) Will Ja'Marr Chase record more receiving yards than Rashee Rice?,Sports
Will Hard Fork continue running with the same two hosts at the end of 2024?,Science & Tech
Will there be $200k+ in Manifold donations before 2024?,Economics & Business
Will a ceasefire be agreed between Russia and Ukraine in 2024?,Politics & Governance
Will Brighton win the West Ham vs Brighton game (January 2 premier league),Sports
Will Gilmour Space reach orbit before 2025?,Science & Tech
will i get into one of these schools?,Education & Research
"Will Helsinki, Finland average temperature for February 2024 be higher than average (1991-2020)?",Science & Tech
Will there be mass protests in Russia in 2024?,Politics & Governance
Will Houshou Marine hit 4 million subscribers on YouTube before 2025?,Arts & Recreation
Will Jimmy Carter be alive at the end of the day on January 4?,Healthcare & Biology
Will the winner of Tontine come from Polybius's Tontine Discord server?,Arts & Recreation
"Will I submit a first author (or cofirst author) conference paper to ICLR, NeurIPS or ICML in 2024?",Science & Tech
Will Rust & Web Assembly be adopted by most Javascript developers in 2024 ?,Science & Tech
Will Anderson Cooper and Andy Cohen get drunk on the New Year’s Eve live broadcast?,Arts & Recreation
Will molecular jackhammers have at least 50% tumour-free efficacy in Phase 2 clinical trials?,Healthcare & Biology
Will the Climate Positive Public License gain adoption in the software industry?,Science & Tech
Will battery metal prices be lower in 2024 than they were in Q4 of 2023,Economics & Business
Will the Denver Nuggets win 60 or more games in the 2023-24 regular season,Sports
Will an AI model be capable of superhuman persuasion before 2034.,Science & Tech
Will the Boston Celtics win 60 or more games in the 2023-24 regular season,Sports
Will I memorize all World Capitals before the end of Jan 2024?,Education & Research
Will a spot BTC ETF be approved in the U.S. by January 15th 2024?,Economics & Business
Will we get AGI before a human walks on Mars?,Science & Tech
Will an open-source text-to-music LLM model be able to create an entire album as convincing as a human by end of 2025?,Science & Tech
Will a human walk on Mars before 2038?,Science & Tech
"If the Republicans do not win the US 2024 election, will the civil unrest 'trump' the 2020 civil unrest after Biden won?",Politics & Governance
Will i get promoted to Masters this Season?,Sports
Will Epic Games sue Valve/Steam by the end of 2024 on the grounds of antitrust/anti-competitive behavior?,Economics & Business
Will the Chilean Government declare a state of exception in Chile’s capital city before March?,Politics & Governance
How many of the FT writers’ predictions for the world in 2024 will turn out to be correct?,Economics & Business
Will the Hard Fork podcast have an emergency AI episode by the end of the first quarter of 2024?,Arts & Recreation
Will we get AGI before a human walks on the Moon again?,Science & Tech
Will we get ASI before 2028?,Science & Tech
Will I get into at least one of the following schools?,Education & Research
Will North Korea successfully launch three satellites in 2024?,Politics & Governance
will levi finkelstein be unband this year (2024)?,Politics & Governance
Will Meta's Threads integrate Bitcoin Lightning payments by the end of 2024?,Science & Tech
Irá chover no Réveillon de Fortaleza?,Science & Tech
Will a human walk on the Moon again before 2031?,Security & Defenses
Will The Finals achieve 100k concurrent steam players on January 31st 2024?,Sports
Will frozen Russian assets be used to fund Ukrainian resistance by the end of 2024?,Politics & Governance
Will Earth have a Space Elevator before 2075?,Science & Tech
Will a human walk on Pluto before 2045?,Science & Tech
Will I be able to reward someone M1000+ for finding music really similar to the album ユメの喫茶店 in 2024?,Arts & Recreation
Will sleep be needed to live and function by 2040?,Science & Tech
Will Destiny talk to Contrapoints during 2024?,Arts & Recreation
Will Destiny talk to Kyle Kulinski during 2024?,Arts & Recreation
Will either PEPE or YEE get 52%+ of the vote? (Destiny Awards 2024),Arts & Recreation
"If Trump is convicted in any federal case, will the next president pardon him or commute his sentence?",Politics & Governance
Will there exist open-source text-to-game AI models that can create a game like Halo 3 just by prompting by end of 2025?,Science & Tech
Daily coinflip,Arts & Recreation
Will Dune: Part Two make over 500 million dollars at the worldwide box office?,Arts & Recreation
Will Pickleball be an official Olympic event before the first female president of the United States ?,Sports
San Francisco Prop B (police staffing on future taxes) passes 2024-03-05,Politics & Governance
"Will Manchester City beat Sheffield Utd during regular time on Sat, Dec 30, 2023? - Premier League",Sports
"Will United Arab Emirates beat Kyrgyzstan during regular time on Sat, Dec 30, 2023? - Friendlies 🌎",Sports
Will KuaiShow Gaming beat Weibo Gaming?,Sports
Will a mod resolve this market?,Politics & Governance
"Will Nottingham Forest beat Manchester United during regular time on Sat, Dec 30, 2023? - Premier League",Sports
Will Marathon (Bungie's new game) release before the Legend of Zelda Movie (Nintendo)?,Arts & Recreation
Will the Legend of Zelda movie get a 7.0 or above on IMDB? (resolves 2 weeks after release),Arts & Recreation
Will Bernie Sanders cease to be a US Senator before the end of 2025?,Politics & Governance
Will Jamal Murray make the NBA Western Conference All Star team?,Sports
Will Wolves beat Rogue Warriors?,Sports
"Will Wolves beat Everton during regular time on Sat, Dec 30, 2023? - Premier League",Sports
Will the Taliban represent Afghanistan at the United Nations before 2030?,Politics & Governance
Will US unemployment be 15% or more before 2030?,Economics & Business
"Will it snow in Dallas by Feb 7, 2024?",Science & Tech
"Will Trump's trial date in the classified document case be rescheduled past May 20, 2024?",Politics & Governance
Will a movie or short film that is primarily pixel art be nominated for an Oscar in any category before 2032?,Arts & Recreation
This market resolves to Biden's approval rating on election day,Politics & Governance
Will Sweden Join NATO before Elden Ring's first DLC releases?,Politics & Governance
Will a critically acclaimed video game feature AI-generated dialogue in 2025?,Science & Tech
Will I be active in 2030 to resolve my turn of the decade president market?,Politics & Governance
Will Sweden join NATO before the next Bitcoin halving?,Politics & Governance
"Will Tom Scott's ""This Video Has X Views"" video have more than 80M views before Grand Theft Auto 6 releases?",Arts & Recreation
Will this question get more than 1k in bets?,Economics & Business
"Will Luton beat Chelsea during regular time on Sat, Dec 30, 2023? - Premier League",Sports
"Will Crystal Palace beat Brentford during regular time on Sat, Dec 30, 2023? - Premier League",Sports
"Will China beat Oman during regular time on Fri, Dec 29, 2023? - Friendlies 🌎",Sports
"Will Aston Villa beat Burnley during regular time on Sat, Dec 30, 2023? - Premier League",Sports
"Will Masai Ujiri be president of the Toronto Raptors from now until June 27, 2024?",Sports
Will there be a Xavier Renegade Angel reboot/remake or new episodes before EOY 2030?,Arts & Recreation
"In 2028, will programmers usually be able to use GitHub Copilot and similar tools in interviews?",Science & Tech
How many blog posts will Scott Alexander make to ACX in 2024? Question resolves to log(post count + 1)/log(300).,Economics & Business
"Resolve % increases by 1% for each 500 vehicles (or part thereof) Tesla produces over 460,000.",Economics & Business
Will there be a cyber attack that makes front page news before the end of 2023?,Security & Defenses
"Conditional on AI alignment being solved, will governments or other entities be capable of enforcing use of aligned AIs?",Science & Tech
Will Eagles beat Giants today?,Sports
Will Kari Lake be found guilty of defaming Maricopa County Recorder Stephen Richer?,Politics & Governance
Will there be a gpt-4 quality LLM with distributed inference by the end of 2024?,Science & Tech
Will Taika Waititi's Star Wars film come out before a human walks on the moon again?,Arts & Recreation
Will Tesla deliver more than 5000 Cybertrucks in 2024?,Economics & Business
Is the best way to spread Christmas cheer sliding a candy cane inside a friend's ear?,Arts & Recreation
"Will Helsinki, Finland average temperature for December 2023 be higher than average (1991-2020)?",Science & Tech
"Will Claudine Gay remain Harvard’s president through Monday, 1/8/2024?",Politics & Governance
Will a portion of the Epstein client list be released by the end of 2024?,Politics & Governance
Will blockchain gaming or blockchain features provide meaningful gameplay innovation to players in the next 4 years?,Science & Tech
"Will Helsinki, Finland average temperature for January 2024 be higher than average (1991-2020)?",Science & Tech
Will there be a female president of the United States before China and Taiwan go to war?,Politics & Governance
Will NYC have a white Christmas in 2024? New York City ❄️🎄,Arts & Recreation
Will there be an AI that diagnoses patients better than an average doctor prior to 2030?,Healthcare & Biology
Will Tesla deliver more than 5000 Cybertrucks in H1 2024?,Economics & Business
Will OpenAI make a fully multimodal LLM in 2024?,Science & Tech
What is the Interest for personal mana loans?,Economics & Business
Will Taika Waititi's Star Wars film come out before Grand Theft Auto 6?,Arts & Recreation
Will 2024 be the hottest year in the last 25 years,Science & Tech
"Will Nostr reach 30,000 monthly active users in 2024?",Science & Tech
Will the S&P 500 reach a new all-time high in 2024?,Economics & Business
Will I reach a 365 day streak with no forgiveness?,Arts & Recreation
Will Carlos Alcaraz win a major championship in 2024?,Sports
Will two chess masters settle their cheating disputes through a match in 2024?,Sports
"Will I, Daniel Gallant, Finish 2023 in 1st place on the bronze leaderboard?",Sports
Will Donald Trump host a New Year's party?,Politics & Governance
Will Manifold have a Merry Christmas?🎄,Arts & Recreation
Will Joe Biden overturn trade commission ruling to keep Apple Watch Series 9 on the shelves?,Politics & Governance
Will China real GDP growth rate reach 5% in 2024?,Economics & Business
Will I hit a 200 kg squat on my next powerlifting meet in Q2 2024?,Sports
Will there be a non-natural origin theory for the next pandemic?,Healthcare & Biology
Will Marianne Williamson win more than 7 delegates in the 2024 presidential primaries?,Politics & Governance
Will i go to the gym tomorrow(26th dec),Arts & Recreation
"Will it snow in St. John's, NL on December 31st?",Science & Tech
Will it snow in New York during the winter of 2023-2024?,Science & Tech
6) An alternative to the transformer architecture will see meaningful adoption.,Science & Tech
Will Bitcoin reach over 44k today? 12/25,Economics & Business
Will it snow in Toronto on December 30th?,Science & Tech
Will non-human intelligence be confirmed before artificial general intelligence?,Science & Tech
Will there be a united Ireland by 2034?,Politics & Governance
"In 2028, will democrats have a major presidential candidate from the centrist wing of the party?",Politics & Governance
8) The Microsoft/OpenAI relationship will begin to fray.,Science & Tech
Will Destiny talk to DJ Akademiks in 2024?,Arts & Recreation
5) A number of Fortune 500 companies will create a new C-suite position: Chief AI Officer.,Economics & Business
"Will it snow in St. John's, NL on December 30th?",Science & Tech
7) Strategic investments from cloud providers into AI startups [...] will be challenged by regulators.,Economics & Business
"Will a bitcoin cycle top occur around January 10, 2024?",Economics & Business
10) U.S. court rule that generative AI models trained on the internet represent a violation of copyright. [Abbreviated],Science & Tech
9) Some of the hype and herd mentality behavior that shifted from crypto to AI in 2023 will shift back to crypto in 2024,Economics & Business
Will an LLM Built on a State Space Model Architecture Have Been SOTA at any Point before EOY 2027? [READ DESCRIPTION],Science & Tech
Will Ian Nepomniachtchi ever become World Chess Champion,Sports
Will Earth have a Space Elevator before 2055?,Science & Tech
4) The most advanced closed models will continue to outperform the most advanced open models by a meaningful margin.,Science & Tech
3) The terms “large language model” and “LLM” will become less common.,Science & Tech
Will there be a crewed mission to Mars before 2035?,Science & Tech
Will Trudeau still be prime minister by the end of 2024,Politics & Governance
2) Stability AI will shut down.,Science & Tech
1) Nvidia will dramatically ramp up its efforts to become a cloud provider.,Science & Tech
Will 12 or more users request a loan from me by 22 January 2024?,Economics & Business
Set and get my burpee goal this week?,Sports
Will NVIDIA stock go up or down in 2023?,Economics & Business
Will I get my Apple Watch Move Ring at least 5/7 days this week?,Arts & Recreation
Will 'Aquaman and the Lost Kingdom' (2023) be rated at least 6.0 on IMDb one week after its U.S. release?,Arts & Recreation
Will the S&P 500 offer a REAL CAGR greater than 8% from 2024 until 2050?,Economics & Business
Will the PS5 outsell the PSP by the end of 2024?,Arts & Recreation
Will Argentina's poverty level drop below 15% by 2030?,Economics & Business
Will Russia control Krynky by the end of January 2024,Politics & Governance
Will the 2024 Google Santa Tracker use the same route that it has since 2019?,Science & Tech
Will I (co-)start a new coliving community in 2024?,Economics & Business
Will John von Neumann's grave be exhumed (for his DNA) by EOY 2033?,Science & Tech
Will I have a green card by EOY 2024?,Politics & Governance
Will MrBeast be the most subscribed YouTube channel on December 31st 2024?,Arts & Recreation
"By 2024-10-01, will ChatGPT Plus users be able to generate >=10 seconds of video?",Science & Tech
Will the Paris Olympics opening ceremony take place on the Seine river per the initial plan?,Sports
Will GTA VI's Metacritic Metascore be Higher than 95 after 2 weeks of the game being out?,Arts & Recreation
San Francisco Prop A (affordable housing bond) passes 2024-03-05,Politics & Governance
Will undocumented immigrants be able to vote for president in any state in the US by the end of 2025?,Politics & Governance
"In 2024, will METR or Google announce the results of a METR eval on a Google LLM?",Science & Tech
Will Aleksandar Vučić be the President of Serbia on 1 July 2024?,Politics & Governance
"By 2040, will Alessandro Moreschi stop being the last castrato?",Arts & Recreation
Will I go to the gym twice a week in January? ($150M sub),Arts & Recreation
Will Boston get less than 25 inches of snow for the entire winter of 2023-2024,Science & Tech
Will Sid Mani (ftlsid.com) win an Emergent Ventures fellowship by EOY 2025?,Economics & Business
Price Deflation at any point in 2024?,Economics & Business
Will unemployment be at least 7% in November 2024?,Economics & Business
Will a meteorite cause property damage or injury on Earth in 2024?,Science & Tech
"Will dialogue for Civ7 be dynamically generated, rather than hard-coded in?",Science & Tech
Will Anthony D'Esposito be reelected in 2024?,Politics & Governance
Will Manifold fix loans in H1 2024?,Economics & Business
"Will Michael Reeves upload before April 11, 2024?",Arts & Recreation
Will this market resolve at 55% or higher by the end of March 31?,Economics & Business
Peter Daszak dies in suspicious circumstances  by mid 2027,Politics & Governance
Will Solana token more than $130 by end of 2023 by CoinGecko,Economics & Business
Will the Eagles win against the Giants on 12/25?,Sports
Will Claudine Gay remain Harvard’s president until the end of 2023?,Politics & Governance
Will Nikki Haley win more than 50% of the vote in any GOP primary?,Politics & Governance
Will Grand Theft Auto 6 release before Monster Hunter Wilds?,Arts & Recreation
Will Tawanchai remain featherweight Muay Thai champion of ONE by the end of 2024?,Sports
Will April 2024 be the hottest April on record?,Science & Tech
Will Belal Muhammad be the next one to fight for the Welter Weight title?,Sports
Will anyone from the Likud desert by the end of 2024?,Politics & Governance
Will Nico Carrillo be bantamweight Muay Thai champion of ONE by the end of 2024?,Sports
"Of the companies which are currently #11-20 in market cap, will any be larger than Eli Lilly (#10) at the end of 2024?",Economics & Business
"Will Stability.ai go under by May 1st, 2024?",Economics & Business
Will the war in Israel end after the entirety of the Gaza strip is occupied?,Politics & Governance
Will the Winds of Winter Prologe be set in the Riverlands?,Arts & Recreation
Will Scott Boland be picked in the Australian XI to play against Pakistan for the upcoming Boxing Day Cricket Match?,Sports
Will manifold increase the cost of market creation before 2025?,Economics & Business
"Is it possible to ""hack"" an average human into performing arbitrary behaviors?",Healthcare & Biology
Will a human walk on the moon again before Star Citizen releases?,Science & Tech
Will the Bridges podcast have Ethan Klein as a guest in 2024?,Arts & Recreation
"If a large, good survey of AI engineers in the United States is run, what will be the average p(doom) within 10 years?",Science & Tech
"If I write an e/acc FAQ, will it be widely shared?",Economics & Business
Will my family finish Die Hard?,Arts & Recreation
Will Ben-Gvir quit Netanyahu's government by the end of 2024?,Politics & Governance
"Will there be a major AAA video game where NPCs speak with dynamically generated, rather than fixed dialogue, in 2024",Science & Tech
Will Earth have a Space Elevator before 2050?,Science & Tech
Will Bryan Johnson get Magnetic resonance elastography (MRE) of his brain in 2024?,Healthcare & Biology
Should you infer in the lottery sniper problem that you're only one of many players?,Economics & Business
Will there be a crewed mission to Mars before 2050?,Science & Tech
Will the creator of this market (me) be here to resolve it on December 31st 2025?,Economics & Business
"Will ""NPCs"" in GTA 7 have ""fixed dialogue lines""?",Arts & Recreation
"Will I give birth before the new year, 2024?",Healthcare & Biology
Will the 2024 AIME get leaked?,Education & Research
Will Death Stranding 2 release before Kingdom Hearts IV?,Arts & Recreation
Will the Obamas start a video game production company before 2026?,Economics & Business
jstlk stock permanent,Economics & Business
Will Walter White or a different character from Breaking Bad be playable in Multiversus before February 15th 2025?,Arts & Recreation
Will Sweden Join NATO before Death Stranding 2 releases?,Politics & Governance
Will Haunted Chocolatier (Stardew Valley Dev's next game) release before Jan 1st 2025?,Arts & Recreation
Will Jimmy Carter be the #1 most nominated person for Derby Dead Pool 2024?,Sports
Will the US defeat China in war before 2028?,Security & Defenses
Will Sam Howell be the starting QB for the Washington Commanders at the beginning of the 2024 season?,Sports
"Will cerebrolysin be shown to improve memory, intelligence, or some other trait?",Healthcare & Biology
"Will one of the Big Four airlines go bankrupt, be acquired, or cease operations before EOY 2026?",Economics & Business
Will the next iPhone (2024) be round?,Science & Tech
Will a new version of the X-Files TV show air by September 2025?,Arts & Recreation
Will Seattle United B12 Tango win their soccer game on Jan. 21st against Three Rivers?,Sports
"🟢 Is ETH ( Ethereum ) the calm before the storm, preparing to explode in 2024?",Economics & Business
Will the 14th Amendment to the US Constitution be altered or repealed before 2028?,Politics & Governance
Will Skibidi Toilet reach 100 full episodes (by the creator's numbering) by EOY 2024?,Arts & Recreation
Will Manifold significantly improve discovery in 2024? (resolves based on a poll),Science & Tech
Will any model in Apple’s 2024 MacBook lineup include an on-device LLM “ChatBot”?,Science & Tech
"If Tetraspace makes an assurance contract website in 2024, will it reach 100 users?",Economics & Business
Will Google next Pixel Phone (2024) include an on-device LLM “ChatBot”?,Science & Tech
Vote no,Politics & Governance
Will the next Millennium Problem be solved by an AI?,Science & Tech
Will Apple’s next iPhone (2024) include an on-device LLM “ChatBot”?,Science & Tech
Will Manifold try to create a sitewide event before Pi Day? [~Person of The Year Retrospective],Arts & Recreation
"Will a state, province, or country issue a public health warning or laws about AI companions in 2024?",Politics & Governance
Will Sweden Join NATO before Bitcoin reaches $50K again?,Politics & Governance
"Will I get stuck on the way to the beach and back during Christmas because of protests in Lima, Perú",Politics & Governance
Will stranger things end in the next season?,Arts & Recreation
Will anyone bet on my question before EOY 2023?,Economics & Business
Will the release of Gemini Ultra trigger a surge of public panic and government concern around AI?,Science & Tech
Will Spain lose any territory before 01/01/2030? (Either land or territorial waters),Politics & Governance
will minecraft's movie come out in 2025,Arts & Recreation
Will my girlfriend's cat utterly DESTROY her mom's Christmas tree while we're away on vacation?,Arts & Recreation
"Will Enve Composites release their integrated bar/stem before January 31,2024?",Economics & Business
Will @Mira apologize for how they went bankrupt?,Economics & Business
Will there be a shortage of IT workers by the end of 2030?,Science & Tech
"Will X (fka Twitter) come public in 2024 under the ""X"" stock ticker?",Economics & Business
"Will Alby Browser Extension hit 1,000⭐ stars on Github in 2024?",Science & Tech
Will Australian Open 2024 have a new grand slam champion on the women's side?,Sports
Will flight AF 1180 from Paris to London departing on 2023-12-27 arrive with 30+ minute delay (YES),Economics & Business
Will at least one American woman reach the singles final of Australian Open 2024?,Sports
"Will Adrian Orr, governor of the reserve Bank of New Zealand, serve out the entire remainder of his term?",Economics & Business
Will a cure that eradicated over 50% of cancer tumors without significant adverse side effects be found before 2050?,Healthcare & Biology
Will flight AF 1180 from Paris to London departing on 2023-12-25 arrive with 30+ minute delay (YES),Economics & Business
Will I be Ṁ Bankrupt by end of Q1 2024…,Economics & Business
Will Google Santa Tracker's Santa make a turn greater than 90˚?,Science & Tech
Will flight AF 1146 from Paris to Warsaw departing on 2023-12-27 arrive with 30+ minute delay (YES),Economics & Business
Will flight AF 1580 from Paris to London departing on 2023-12-26 arrive with 30+ minute delay (YES),Economics & Business
Will flight LO 331 from Warsaw to Paris departing on 2023-12-25 arrive with 30+ minute delay (YES),Economics & Business
Will flight AF 1146 from Paris to Warsaw departing on 2023-12-26 arrive with 30+ minute delay (YES),Economics & Business
Will flight AF 1580 from Paris to London departing on 2023-12-27 arrive with 30+ minute delay (YES),Economics & Business
Will flight LO 331 from Warsaw to Paris departing on 2023-12-26 arrive with 30+ minute delay (YES),Economics & Business
Will hollow knight: silksong release before march 1 2024?,Arts & Recreation
Will flight AF 334 from Paris to Boston departing on 2023-12-26 arrive with 30+ minute delay (YES),Economics & Business
Will flight AF 333 from Boston to Paris departing on 2023-12-25 arrive with 30+ minute delay (YES),Economics & Business
Will flight DL 224 from Boston to Paris departing on 2023-12-26 arrive with 30+ minute delay (YES),Economics & Business
Will I get into college,Education & Research
Will Tal Broda be fired or demoted from OpenAI due to his now deleted posts from Twitter/X?,Economics & Business
[Daily] Will GOOG close higher on December 21 than it closed on December 20?,Economics & Business
Will voting on polls show up in the live feed on manifold before Feb 2024?,Politics & Governance
Will Manifold introduce an AI-based feature that automatically resolves markets in 2024?,Science & Tech
Will I attend ASPR/WARP in 2024?,Healthcare & Biology
[Daily] Will AMZN close higher on December 21 than it closed on December 20?,Economics & Business
Will the USA top 1% total common wealth become less than all the wealth in the Middle Class again at the end of 2024?,Economics & Business
[Daily] Will Lockheed Martin LMT close higher on December 21 than it closed on December 20?,Economics & Business
