question,domain
NFL: Will the sum of points in Chargers v Broncos be more than 47.5?,Sports
Will Trump be found liable for battery and/or defamation?,Politics & Governance
Will Man City beat Leicester? 04-15-2023,Sports
Will U.S. inflation be greater than 0.0% from April to May 2023?,Economics & Business
Will Donald Trump smile in his mugshot?,Politics & Governance
Will Sweden join NATO by July 12?,Politics & Governance
Will Hotez go on Rogan by July 31?,Arts & Recreation
Will $PEPE be more than $0.000004 on May 8?,Economics & Business
Will Arsenal beat West Ham? 04-16-2023,Sports
"Golden Globes 2022: Will ""The Power of the Dog"" win Best Motion Picture - Drama?",Arts & Recreation
Will Jamie Dimon announce he is running for president by July 31?,Politics & Governance
Will any 2023 MrBeast video reach 220m views before Dec 31?,Arts & Recreation
Will the New York Times definitively state Israel was not behind the Gaza hospital blast?,Politics & Governance
Will Russia use a nuclear weapon by June 30?,Security & Defenses
Will Trump drop out before the 2024 Iowa Caucus?,Politics & Governance
Will Tim Scott win the U.S. 2024 Republican vice presidential nomination?,Politics & Governance
Will the Fed raise interest rates by 0 bps after its July meeting?,Economics & Business
Will Idalia hit Florida as Category 4 hurricane?,Security & Defenses
Will Lauren win Survivor 44?,Sports
Will Newsom announce Feinstein's replacement by October 2?,Politics & Governance
Will Binance.US shut down by June 30?,Economics & Business
Will 'Five Nights at Freddy's' gross over $80m opening weekend?,Arts & Recreation
"ETH above $1,700 on Sep 8?",Economics & Business
Will 'Joy Ride' gross more than $13.5m on its 3-day opening weekend?,Arts & Recreation
arch: Will NASA record 2023 as the hottest year yet?,Science & Tech
Will OpenAI announce it has achieved AGI in 2024?,Science & Tech
"Will a vaccine targeting the Omicron variant be available in the US before April 1, 2022?",Healthcare & Biology
Iceland volcanic eruption by Dec 31?,Science & Tech
NBA: Will the Warriors beat the Pelicans by more than 2.5 points in their January 6 matchup?,Sports
NHL: Will the Wild beat the Senators by more than 1.5 goals in their February 22 matchup (7 PM ET)?,Sports
Will Lateefah Simon replace Feinstein?,Politics & Governance
Will 'Mission: Impossible' gross over $70m on its 3-day open?,Arts & Recreation
Will the missing submarine be found by June 23?,Security & Defenses
US Congress approve more Ukraine aid in 2023?,Politics & Governance
Will the Fed decrease interest rates by 25 bps after its July meeting?,Economics & Business
archWill Ron DeSantis win the 2024 US Presidential Election?,Politics & Governance
test2heww__1,DROP
Jupiter airdrop in 2023?,Science & Tech
NBA: Will the Celtics beat the Thunder by more than 10.5 points in their November 20th matchup?,Sports
Will the Jazz beat the Bulls by more than 3.5 points in their October 30th matchup?,Sports
Will Hunter Biden testify before congress by March 31?,Politics & Governance
"Will anyone say ""Hunter"" in the 2nd RNC primary debate?",Politics & Governance
Will Connor Roy be CEO at the end of Succession S4?,Arts & Recreation
US aid to Israel by Jan 31?,Politics & Governance
Will Messi score in his next game?,Sports
Will Australia's Indigenous Voice referendum pass?,Politics & Governance
Will OpenAI be for-profit by March?,Economics & Business
Will Christoph Strasser win the 2023 Transcontinental Race?,Sports
"Will the high temperature in New York's Central Park be 60°F or higher on November 2, 2021?",Science & Tech
Will Patrick McHenry be the next Speaker?,Politics & Governance
NBA: Will the Bucks beat the Nuggets by more than 3.5 points in their November 26th matchup?,Sports
Will Donald Trump be found guilty vs. New York?,Politics & Governance
"Will ""Trump"" be said by every candidate in the RNC primary debate on August 23?",Politics & Governance
Indonesian Presidential Election: Will Ganjar Pranowo win?,Politics & Governance
Will the Celtics beat the Wizards by more than 4.5 points in their October 27th matchup?,Sports
Will 'Spider-Man: No Way Home' get a 90% or higher Critic Tomatometer Score?,Arts & Recreation
Will CZ be arrested in 2023?,Politics & Governance
Will Upbit delist Augur by Aug 15?,Economics & Business
Will the Fed raise interest rates by 0 bps after its September meeting?,Economics & Business
Egypt Presidential Election: Will Abdel Fattah el-Sisi win?,Politics & Governance
"Will the floor price of Bored Apes be above 48 ETH on December 22, 2021?",Economics & Business
Will Coinbase announce it will cease $ETH staking by June 30?,Economics & Business
Will Syriza win over 20% of votes?,Politics & Governance
NBA: Will the Pacers beat the Heat by more than 5.5 points in their December 3 matchup?,Sports
Will Donald J. Trump be indicted a second time by May 31?,Politics & Governance
Which party will control the U.S. Senate after the 2024 election?,Politics & Governance
Will 'Oppenheimer' gross over $50m on its second weekend?,Arts & Recreation
Will Volodymyr Zelenskyy remain President of Ukraine through June 2023?,Politics & Governance
NHL: Will the Leafs beat the Jets by more than 1.5 points in their December 5 matchup?,Sports
"Will Elon say ""Doge"" on Tucker?",Arts & Recreation
Will Trump be indicted a fourth time by September 30?,Politics & Governance
Iceland volcanic eruption by Nov 17?,Science & Tech
Will 'Eternals' get 90% or higher Audience Score on Rotten Tomatoes?,Arts & Recreation
Will @realDonaldTrump tweet in 2022?,Politics & Governance
Will the winner of Squid Game get their winnings before Feb?,Arts & Recreation
Do Kwon extradited before March?,Politics & Governance
Will Twitter announce bankruptcy in 2023?,Economics & Business
Will the USA report a 7-day COVID-19 case average of 600k or more by January 8?,Healthcare & Biology
Will 'Meg 2: The Trench' gross over $23.5m on opening weekend?,Arts & Recreation
[NEW MARKET] CHECK IT OUT,DROP
NBA: Will the Lakers beat the Thunder by more than 5.5 points in their December 10 matchup?,Sports
NBA: Will the Hornets beat the Magic by more than 7.5 points in their 24th November matchup?,Sports
2024 presidential election: Democrats win by 15-34,Politics & Governance
Will the Chicago Bears win the NFC North?,Sports
Travis Scott's Utopia over 250k sales week 1?,Arts & Recreation
Burkina Faso coup?,Politics & Governance
Will U.S. inflation be greater than 0.0% from May to June 2023?,Economics & Business
Will the floor price of CryptoPunks be above 50 ETH at the end of the year?,Economics & Business
Will Binance.US shut down by Feb 29?,Economics & Business
Ayatollah Khamenei still in power in Iran by June 30?,Politics & Governance
Will a cat 5 hurricane make landfall in the lower 48 U.S. states by November 30?,Science & Tech
NBA: Will the Wizards beat the Cavaliers by more than 3.5 points in their December 3 matchup?,Sports
NHL: Will the Oilers beat the Jets by more than 1.5 goals in their February 19 matchup (4 PM ET)?,Sports
Will Nikki Haley win the U.S. 2024 Republican presidential nomination?,Politics & Governance
2023 FIDE World Cup: Will Hikaru Nakamura win top 3?,Sports
Will Niger's coup succeed?,Politics & Governance
Will the USA report a 7-day COVID-19 case average of 450k or more by January 8?,Healthcare & Biology
NBA: Will the Celtics beat the Knicks by more than 4.5 points in their December 18 matchup?,Sports
archNBA: Will the Knicks beat the Nuggets by more than 1.5 points in their December 4 matchup?,Sports
NBA: Will the Bulls beat the Magic by more than 8.5 points in their November 26th matchup?,Sports
archWill 'The Matrix Resurrections' get 88% or higher Audience Score on Rotten Tomatoes?,Arts & Recreation
US Congress approve a new Ukraine aid package 2023?,Politics & Governance
"archWill the 'World' report a record high 7-day COVID-19 case average before January 8, 2022?",Healthcare & Biology
Will Ole Gunnar Solskjaer be sacked (or resign) as Manchester United F.C. coach by November 19th?,Sports
NBA: Will the Grizzlies beat the Rockets by more than 8.5 points in their December 11 matchup?,Sports
Will Japan win the 2023 Women's World Cup?,Sports
"Will anyone say ""January 6th"" in the RNC primary debate on August 23?",Politics & Governance
Formula 1: Will Valtteri Bottas finish ahead of Sergio Perez in the Abu Dhabi Grand Prix?,Sports
Will U.S. inflation be greater than 0.0% from June to July 2023?,Economics & Business
Will a hurricane make landfall in the US in October?,Science & Tech
"Will anyone say ""Hunter"" in the RNC primary debate on August 23?",Politics & Governance
Manchester United takeover before 2024?,Sports
Will Brentford beat Crystal Palace?,Sports
"Will @elonmusk have between 29,080-29,094 tweets on August 8?",Arts & Recreation
SEC approves first spot Bitcoin ETF on Jan 8?,Economics & Business
Will 'Aquaman and the Lost Kingdom' gross over $37.5m opening weekend?,Arts & Recreation
Military intervention in Niger by September 15?,Security & Defenses
Formula 1: Will 17 or more drivers classify at the 2023 Monaco Grand Prix?,Sports
Will the Fed decrease interest rates by 25 bps after its June meeting?,Economics & Business
Will the government shutdown last more than 14 days?,Politics & Governance
Arkham token above $1 one week after launch?,Economics & Business
Will Hamas release any more hostages by Jan 15?,Politics & Governance
$UNIBOT below $100 by EoY?,Economics & Business
Will OpenSea announce a token by May 31?,Economics & Business
Will the New York Jets win the AFC East?,Sports
Will France win the 2022 World Cup?,Sports
Will the FDV of OpenSea's token be above $5b 1 week after launch?,Economics & Business
Meghan Markle & Prince Harry split by July 31?,Politics & Governance
Will Messi score in his next game?,Sports
NBA: Will the Bucks beat the Heat by more than 5.5 points in their December 8 matchup?,Sports
Anthony Fauci jail by EoY?,Politics & Governance
Will Donald Trump win the 2024 Republican Iowa Caucus?,Politics & Governance
Will Interpol issue a Red Notice for CZ by June 30?,Security & Defenses
Stake Insolvent by Sep 12?,Economics & Business
Will Charlotte Fang win the 2024 Republican presidential nomination?,Politics & Governance
NFL: Will the Steelers beat the Browns by more than 2.5 points in their January 3 matchup?,Sports
Stake Insolvent by Sep 12?,Economics & Business
Will Kristi Noem win the U.S. 2024 Republican vice presidential nomination?,Politics & Governance
Will Ron DeSantis win the U.S. 2024 Republican vice presidential nomination?,Politics & Governance
@gainzy222 ratio'd on next Rollbit tweet?,DROP
Indonesian Presidential Election: Will Anies Baswedan win?,Politics & Governance
"Will Elon Musk remain CEO of Twitter through June 30, 2023?",Economics & Business
Will the Russian Ruble (RUB) fall below $0.005 by March 25?,Economics & Business
CZ jail before March?,DROP
Will Canada sanction India by October 31?arc,Politics & Governance
Will 'Indiana Jones' gross more than 'The Flash' on its opening weekend?,Arts & Recreation
Will Ron DeSantis win the popular vote in the 2024 Presidential Election?,Politics & Governance
Will Mnangagwa win the 2023 Zimbabwe presidential election?,Politics & Governance
Will Burnley beat Luton Town?,Sports
Will U.S. inflation be greater than 0.1% from June to July 2023?,Economics & Business
Will Galatasaray win the 2022–23 Turkish Süper Lig?,Sports
Will Spurs beat Bournemouth?,Sports
Will Sweden join NATO by October 31?,Politics & Governance
Will 'The Color Purple' gross over $20m on Christmas Day?,Arts & Recreation
Will ‘Thor: Love and Thunder’ gross more than $155 million domestically on its opening weekend?,Arts & Recreation
Will Everton beat Wolves?,Sports
Will 'The Nun II' gross over $40m opening weekend?,Arts & Recreation
Will Aella find someone new to seriously date in 2023?,Arts & Recreation
Will annual inflation in the European Union be 9.3% or more in June?,Economics & Business
"Will Donald Trump be President of the USA on July 31, 2023?",Politics & Governance
[TEST] Will Murat's son be born on an odd or even hour?,DROP
US military intervention by Dec 31?,Security & Defenses
Will Chris Christie drop out of presidential race in 2023?,Politics & Governance
Will the floor price of Mutant Apes be above 13 ETH on January 12?,Economics & Business
archMusk vs. Zuck: Will they go the distance?,Arts & Recreation
Will a hurricane make landfall in the US in August?,Science & Tech
zkSync airdrop in 2023?,Economics & Business
Will Dillon Danis post 5+ pics of Nina on Aug 24? ,Arts & Recreation
Will Tesla deliver a Cybertruck in Q3?,Economics & Business
Fed rate cut by March 20?,Economics & Business
Will Manchester United beat Nottingham Forest?,Sports
NBA: Will the Bucks beat the Rockets by more than 8.5 points in their December 10 matchup?,Sports
NBA: Will the Clippers beat the Timberwolves by more than 6.5 points in their November 13th matchup?,Sports
Virginia State Legislature: Will Republicans gain full control?,Politics & Governance
NBA: Will the Hawks beat the Magic by more than 10.5 points in their November 15th matchup?,Sports
Did US GDP grow 0.0% or more in Q2 2023?,Economics & Business
NBA: Will the sum of points in Jazz v 76ers be greater than 216.5?,Sports
NBA: Will the Nuggets beat the Spurs by more than 1.5 points in their December 11 matchup?,Sports
archWill 'Spider-Man: No Way Home' get 91% or higher Audience Score on Rotten Tomatoes?,Arts & Recreation
NBA: Will the Grizzlies beat the Pelicans by more than 2.5 points in their November 13th matchup?,Sports
Will the Baltimore Ravens win the AFC North?,Sports
Greek Election: Will Syriza get more votes than PASOK?,Politics & Governance
Chess: Will the Bongcloud Opening be played at 2021 FIDE World Rapid Championship Open?,Sports
NFL: Will the Bengals beat the Jets by more than 10.5 points in their October 31st matchup?,Sports
"Will USA, UK or Australia tighten their lockdown policies by November 19, 2021?",Politics & Governance
"Will the high temperature in New York's Central Park be 60°F or higher on November 15th, 2021?",Science & Tech
Chess: Will more than 22% of games end with a draw at 2021 FIDE World Blitz Championship Open?,Sports
archNFL: Will the Rams beat the Seahawks by more than 4.5 points in their December 19 matchup?,Sports
"Will the USA report a 7-day COVID-19 case average of 200k or more before January 1, 2022?",Healthcare & Biology
Is this a test market?,Economics & Business
Will Trump tweet again by Sep 30?,Politics & Governance
Will N.D. win over 42% of votes?,Politics & Governance
Will Messi score in his next game?,Sports
NFL: Will the Cowboys beat the Washington by more than 10.5 points in their December 26 matchup?,Sports
2022 Open Championship: Will Tiger Woods' record be broken?,Sports
"ETH above $1,600 on Halloween?",Economics & Business
Taylor Swift engaged by April 1?,Arts & Recreation
Will Mitch McConnell remain senator through Halloween?,Politics & Governance
Indonesian Presidential Election: Will Prabowo Subianto win?,Politics & Governance
NATO article 5 by November 30?,Security & Defenses
Will Trump be indicted a third time by August 31?,Politics & Governance
NHL: Will the Bruins beat the Wild by more than 1.5 goals in their January 6 matchup?,Sports
"Golden Globes 2022: Will ""Don't Look Up"" win Best Motion Picture - Musical/Comedy?",Arts & Recreation
"Will the price of a barrel of crude oil be $85.00 or more on October 31, 2022? (DEC 2022 Future)",Economics & Business
NBA: Will the Clippers beat the Thunder by more than 3.5 points in their December 18 matchup?,Sports
"Golden Globes 2022: Will ""tick, tick... BOOM!"" win Best Motion Picture - Musical/Comedy?",Arts & Recreation
NBA: Will the Warriors beat the Heat by more than 8.5 points in their January 3 matchup?,Sports
Will England win the 2023 Women's World Cup?,Sports
Will USD be worth more than EUR on September 30?,Economics & Business
NBA: Will the Bucks beat the Cavaliers by more than 1.5 points in their December 18 matchup?,Sports
Will the Lahaina fire in Maui be fully contained this week?,Security & Defenses
Will Donald Trump be President of the USA on May 31?,Politics & Governance
"arch2021Will $ETH (Ethereum) be above $4,000 on January 12, 12pm ET?",Economics & Business
"aaaWill $LUNA be above $10.00 on May 17, 2022?",Economics & Business
Will Israel capture Al-Shifa Hospital by Nov 17?,Security & Defenses
Will Max Verstappen win every remaining Grand Prix in 2023?,Sports
Will Berachain set a testnet launch date in 2023?,Science & Tech
Will the highest corporate tax rate be raised above 21% in 2022?,Economics & Business
"Golden Globes 2022: Will ""Dune"" win Best Motion Picture - Drama?",Arts & Recreation
hello please hello help,DROP
Will Magnus Carlsen reach 2900 FIDE in February rating?,Sports
Will a US/Iran nuclear deal be announced in 2023?,Politics & Governance
Will EUR be worth more than .98 USD on October 21?,Economics & Business
NBA: Will the Trail Blazers beat the Pistons by more than 9.5 points in their November 30th matchup?,Sports
Saudi Aramco's 2023 net income >$120 billion?,Economics & Business
Will 'Avatar: The Way of Water' gross more than $650 million domestically in its first month?,Arts & Recreation
"Will ETH hit $2,000 by EOY?",Economics & Business
Will Manchester City beat Wanderers?,Sports
SBF jail by August 31?,Politics & Governance
North Korea missile test by September 30?,Security & Defenses
Will NH be the first primary in 2024 Dem. nomination?,Politics & Governance
Will Magnus Carlsen win the Speed Chess Championship?,Sports
Will the Washington Commanders win the NFC East?,Sports
Will the Tampa Bay Buccaneers win the NFC south?,Sports
Will SBF get Adderall in jail?,Healthcare & Biology
Is this a second test market?,Economics & Business
Will 'Barbie' gross over $90m on its second weekend?,Arts & Recreation
Will the Atlanta Falcons win the NFC south?,Sports
Will Trump be indicted again by December 31?,Politics & Governance
Will PredictIt create a new market by November 7?,Economics & Business
"Will $ETH (Ethereum) be above $3,800 on January 12, 12pm ET?",Economics & Business
Will Chelsea F.C. win another Premier League game this year?,Sports
arch Will James Harden be traded?,Sports
NBA: Will the Nuggets beat the Hawks by more than 4.5 points in their November 12th matchup?,Sports
Will the next speaker be elected by Oct 31?,Politics & Governance
Will the Los Angeles Rams win the NFC West?,Sports
Will the Buffalo Bills win the AFC East?,Sports
Will Dean Phillips win the U.S. 2024 Democratic presidential nomination?,Politics & Governance
Government shutdown over by October 6?,Politics & Governance
Will Trump win presidency?,Politics & Governance
Will SOL outperform ETH in January?,Economics & Business
Will Firouzja win the ChessKid Cup 2023?,Sports
Will Burnley beat Aston Villa?,Sports
Will a candidate say something racist at the next Republican debate?,Politics & Governance
Will PP win over 33.5% of votes in the 2023 Spanish general election?,Politics & Governance
"Will Trump say ""Sleepy Joe"" during his Tucker Carlson interview?",Politics & Governance
Tory Lanez sentence over 8.5 years?,Arts & Recreation
2024 presidential election: Democrats win by 35-64,Politics & Governance
Will the Jacksonville Jaguars win the AFC south?,Sports
archRepublican House and Democratic Senate after U.S. 2022 Midterms?,Politics & Governance
WorldCoin Market cap (FDV) over $10b one week after launch?,Economics & Business
Will Kanye West win the 2024 US Presidential Election?,Politics & Governance
Will the San Francisco 49ers win the NFC West?,Sports
Will the Arizona Cardinals win the NFC West?,Sports
Israeli troops on the ground in Gaza by Monday?,Politics & Governance
Will Sweden win the 2023 Women's World Cup?,Sports
Will the Houston Texans win the AFC South?,Sports
"Will anyone say ""Hunter"" in the 3rd RNC primary debate?",Politics & Governance
"Will anyone say ""Clinton"" in the 3rd RNC primary debate?",Politics & Governance
TEST Will it be sunny in Brooklyn's Prospect Park on Sunday June 11th 2023?,Science & Tech
"Will Joe Biden be President of the United States on June 1, 2023?",Politics & Governance
Will Ukraine sever the land bridge between Crimea and Russia by Dec 31?,Politics & Governance
"Will ""ceasefire"" be said 10 or more times in the 3rd RNC primary debate?",Politics & Governance
Will the U.S. inflation be 0.7% or more from January to February 2022?,Economics & Business
Hamas still in power in Gaza by Dec 31?,Politics & Governance
Will more people travel on every day between November 22-28 than traveled in 2022?,Economics & Business
Will the New Orleans Saints win the NFC south?,Sports
Will the New England Patriots win the AFC East?,Sports
Will Apple be the largest company in the world on January 31?,Economics & Business
Will $USDT depeg by June 30?,Economics & Business
Will crude oil hit $120 in 2023?,Economics & Business
Military intervention in Iran by November 15?,Security & Defenses
"archWill Donald Trump be President of the USA on January 6, 2024?",Politics & Governance
Will Brock Purdy win NFL MVP for the 2023-24 season?,Sports
Will total value locked in DeFi be $110 billion or higher on November 18th?,Economics & Business
Will Trump be found innocent of all charges in any ongoing case?,Politics & Governance
Will WeWork announce bankruptcy in 2023?,Economics & Business
Will Fantano rate Drake's new album a 7 or higher?,Arts & Recreation
Will the next speaker be elected by Oct 20?,Politics & Governance
NHL: Will the Rangers beat the Oilers by more than 1.5 goals in their January 3 matchup?,Sports
Will Milady flip Azuki by Aug 31?,DROP
Texans vs. Colts: Margin of Victory 7-13?,Sports
NBA: Will the Wizards beat the Hornets by more than 2.5 points in their January 3 matchup?,Sports
Will Lex Fridman interview Vladimir Putin in 2023?,Politics & Governance
Will Manchester United make it out of their group?,Sports
Will FTX relaunch by Sept 30?,Economics & Business
NBA: Will the Warriors beat the Raptors by more than 5.5 points in their December 18 matchup?,Sports
NBA: Will the Clippers beat the Magic by more than 8.5 points in their December 11 matchup?,Sports
NBA: Will the Grizzlies beat the Pistons by more than 12.5 points in their January 6 matchup?,Sports
Will Cosmos (ATOM) price be above $35 at noon on January 11?,Economics & Business
"Will Joe Biden be President of the United States on April 1, 2023?",Politics & Governance
Will there be 19 or more named storms during the 2023 Atlantic Hurricane Season?,Science & Tech
Will the Cincinnati Bengals win the AFC North?,Sports
Will Lydia say yes at the altar?,Arts & Recreation
Will the Cleveland Browns win the AFC North?,Sports
Will the Pittsburgh Steelers win the AFC North?,Sports
Will X sue ADL by Halloween?,Politics & Governance
Will the Tennessee Titans win the AFC south?,Sports
DOGE above 8¢ on August 2?,Economics & Business
Will the floor price of Mutant Apes be above 10 ETH on January 12?,Economics & Business
Will Pogba be found guilty of doping?,Sports
Will Trump be indicted a third time by July 31?,Politics & Governance
Will Joe Biden's 538 approval reach 40.0% by December 31?,Politics & Governance
Will the New York Giants win the NFC East?,Sports
Republican House and Republican Senate after U.S. 2024 General Election?,Politics & Governance
Will SBF tremor in court?,Politics & Governance
Trump jail before election day?,Politics & Governance
2024 presidential election: GOP wins by 15-34,Politics & Governance
2023 FIDE World Cup: Will Ian Nepomniachtchi win top 3?,Sports
Will Sean Patrick Maloney be the next Secretary of Labor?,Politics & Governance
Will a hurricane make landfall in the lower 48 U.S. states in July?,Science & Tech
Will the Epstein documents name any sitting US congressman?,Politics & Governance
Huobi Insolvent in 2023?,Economics & Business
arcWill Shein IPO at a $90b valuation by April 30?,Economics & Business
Will Travis Kelce and Taylor Swift break up by Nov 1?,Arts & Recreation
Will Robert F. Kennedy Jr. win the U.S. 2024 Democratic presidential nomination?,Politics & Governance
"Will Joe Biden be President of the United States on February 1, 2024?",Politics & Governance
Will Ohio’s abortion referendum pass?,Politics & Governance
Will Byron Donalds be the next Speaker?,Politics & Governance
"Will Donald Trump be President of the USA on September 1, 2022?",Politics & Governance
Opepen floor price over .69 ETH on July 28?,Economics & Business
Will Tucker Carlson win the U.S. 2024 Republican presidential nomination?,Politics & Governance
Will Joe Biden win the 2024 US Presidential Election?,Politics & Governance
Will Bob Iger remain CEO of Disney through September?,Economics & Business
arcNHL: Will the Bruins beat the Hurricanes by more than 1.5 goals in their February 10 matchup (8 PM ET)?,Sports
Temporary ceasefire for hostages deal by Nov 10?,Politics & Governance
Egypt Presidential Election: Will Hazem Omar win?,Politics & Governance
Haniyeh still in Hamas leadership through March 1?,Politics & Governance
Egypt Presidential Election: Will Farid Zahran win?,Politics & Governance
Egypt Presidential Election: Will Abdel-Sanad Yamama win?,Politics & Governance
Will PVV win a plurality in the 2023 Dutch General Election?,Politics & Governance
Solana airdrop by March 1?,Economics & Business
Confederate Memorial at Arlington Cemetery removed by Jan 1?,Politics & Governance
Will 'The Creator' gross over $17m opening weekend?,Arts & Recreation
Will TWTR be delisted from the NYSE by December 30?,Economics & Business
Aella: Will more men report they were spanked than women?,Education & Research
Will any L2 outperform SOL?,Science & Tech
Will Izzy say yes at the altar?,Arts & Recreation
Will there be widespread flooding in LA? archd,Science & Tech
"Will Donald J. Trump be indicted by December 31, 2022?",Politics & Governance
2024 presidential election: GOP wins by 215+,Politics & Governance
Will a North American team win LOL Worlds 2023?,Sports
"Will BTC hit $35,000 by Halloween?",Economics & Business
Will Inter Miami make playoffs?,Sports
Will the US publicly state that Iran was directly involved with the recent attack on Israel in 2023?,Politics & Governance
Gemini Ultra released by Jan 31?,Science & Tech
Will 'Gran Turismo' gross over $22m opening weekend?,Arts & Recreation
Will Angela Glover Blackwell replace Feinstein?,Politics & Governance
Will Gavin Newsom win the U.S. 2024 Democratic presidential nomination?,Politics & Governance
Will the Los Angeles Rams win Super Bowl LVIII?,Sports
"Will ETH hit $2,500 by EOY?",Economics & Business
US strike against Houthis by Friday?,Security & Defenses
Will Israel have full control of its territory on Nov 1?,Politics & Governance
awdad,DROP
NBA: Will the Timberwolves beat the Knicks by more than 2.5 points in their January 18 matchup?,Sports
Drift airdrop by March 1?,DROP
NHL: Will the Jets beat the Canadiens by more than 1.5 goals in their March 1 matchup (8 PM ET)?,Sports
Will Friend Tech fall off?,Economics & Business
Will a major hurricane make landfall in the US in October?,Science & Tech
Will the Fed cut rates in 2023?,Economics & Business
"NBA: Will the Bucks beat the Celtics by more than 0.5 points in their May 9, 7:30 PM ET matchup?",Sports
Will Sweden join NATO by August 31?,Politics & Governance
readycron1,DROP
Will Israel Adesanya win by finish?,Sports
Will the Los Angeles Chargers win the AFC West?,Sports
Will the Las Vegas Raiders win the AFC West?,Sports
Will Elise Stefanik win the U.S. 2024 Republican vice presidential nomination? (negative risk),Politics & Governance
Will Tom Emmer be the next Speaker?,Politics & Governance
Will Kristi Noem win the U.S. 2024 Republican vice presidential nomination? (negative risk),Politics & Governance
Taylor Swift and Travis Kelce break up by Nov 1?,Arts & Recreation
Will Hamas surrender in 2023?,Politics & Governance
Will North Korea invade South Korea in 2024?,Security & Defenses
Will Ron DeSantis win the 2024 US Presidential Election?,Politics & Governance
Trump the Republican frontrunner on March 31?,Politics & Governance
"Will anyone say ""GPT"" in the 2nd RNC primary debate?",Politics & Governance
Will Brighton beat West Ham?,Sports
Will Bernie Sanders win the popular vote in the 2024 Presidential Election?,Politics & Governance
archWill Tadej Pogačar win the 2023 Tour de France?,Sports
waoeifjawoiefjiewaf,DROP
Will U.S. inflation be greater than 0.1% from August to September 2023?,Economics & Business
Hillary Clinton jail by EoY? ,Politics & Governance
BTC ETFs first week combined AUM between $10-30 billion?,Economics & Business
Will another Bonkler be minted this month?,Arts & Recreation
Will 'Barbie' gross over $16m this weekend?,Arts & Recreation
SOL/ETH new high by Jan 31?,Economics & Business
All 3 University Presidents who testified on antisemitism out by Jan 31?,Education & Research
Will the Astros win the World Series?,Sports
UK election called by end of year?,Politics & Governance
Will Pete Buttigieg win the U.S. 2024 Democratic presidential nomination?,Politics & Governance
Will Barbenheimer overtake Star Wars: The Force Awakens?,Arts & Recreation
Will Trump attend the second RNC debate?,Politics & Governance
Will US attack Iran in 2023?,Security & Defenses
Will the Russian Ruble (RUB) fall below $0.01 by March 15?,Economics & Business
"Will Donald Trump be President of the USA on November 1, 2022?",Politics & Governance
"Will Kanye West's song ""Everybody"" reach #1 on Billboard Hot 100?",Arts & Recreation
Will Mitch McConnell zone out again by October 1?,Politics & Governance
"Will ""Putin"" be said 5 or more times in the 2nd RNC primary debate?",Politics & Governance
"Will a nuclear weapon detonate by June 30, 2024?",Security & Defenses
NBA: Will the Lakers beat the Wizards by more than 4.5 points in their March 11 (10.30 PM ET) matchup?,Sports
Will France win the 2023 Women's World Cup?,Sports
Ecuador Presidential Election: Will Luisa González win?,Politics & Governance
Will India change its name?,Politics & Governance
Will U.S. inflation be greater than 0.2% from June to July 2023?,Economics & Business
"Will ""Biden"" be said by every candidate in the RNC primary debate on August 23?",Politics & Governance
Will the Baltimore Ravens win Super Bowl LVIII?,Sports
Will Biden mention aliens by August 31?,Politics & Governance
Will KO get over 31% of votes in the 2023 Polish parliamentary election?,Politics & Governance
NHL: Will the Flames beat the Jets by more than 1.5 goals in their February 21 matchup (4 PM ET)?,Sports
Will the Buffalo Bills win Super Bowl LVIII?,Sports
2023 Singaporean presidential election: Will Tan Kin Lian win?,Politics & Governance
Will the San Francisco 49ers win Super Bowl LVIII?,Sports
Will Israel launch a major ground offensive in South Gaza by Dec 8?,Politics & Governance
NBA: Will the Lakers beat the Rockets by more than 3.5 points in their March 9 (8 PM ET) matchup?,Sports
US congress stock trading ban by June 30?,Politics & Governance
Will 'Blue Beetle' gross over $13m this weekend?,Arts & Recreation
Saudi Arabia and Yemeni Houthis peace deal by end of 2023?,Politics & Governance
NHL: Will the Blues beat the Flames by more than 1.5 goals in their January 27 matchup (8 PM ET)?,Sports
Will the Detroit Lions win the NFC North?,Sports
Will Kanye release ‘Vultures’ by Friday?,Arts & Recreation
Will Hillary Clinton win the popular vote in the 2024 Presidential Election?,Politics & Governance
Will Mo Salah leave Liverpool?,Sports
Will Grayscale win v. SEC?,Economics & Business
"BTC above $28,000 at end of August?",Economics & Business
Will Nikki Haley win the popular vote in the 2024 Presidential Election?,Politics & Governance
NBA: Will the Timberwolves beat the Pacers by more than 6.5 points in their February 13 (3 PM ET) matchup?,Sports
MH370 black box found by September 30?,Security & Defenses
Will Gavin Newsom win the 2024 US Presidential Election?,Politics & Governance
Will the Green Bay Packers win Super Bowl LVIII?,Sports
Will Ukraine receive F-16s by end of January?,Security & Defenses
SPX6900 over $5m by Friday?,Economics & Business
Will Curve's founder get liquidated?,Economics & Business
Will Zelensky remain President of Ukraine through March?,Politics & Governance
Explosion at Zaporizhzhia nuclear plant by Sep 30?,Security & Defenses
Will the government shutdown last more than 7 days?,Politics & Governance
Will the government shutdown last more than 21 days?,Politics & Governance
Will Nikki Haley win the U.S. 2024 Republican vice presidential nomination?,Politics & Governance
Will Pope Francis remain Pope through 2023?,Politics & Governance
Will 'The Equalizer 3' gross over $35m Labor Day weekend?,Arts & Recreation
